parameter,value,method,rmse_m,mean_error_m,p90_error_m,fitness_evaluations,runtime_ms,memory_floats,trials
noise_sigma,0.1,pso,7.856,5.486,14.378,1200,1.349,120,200
noise_sigma,0.1,std,5.878,2.646,11.769,1220,1.832,183,200
noise_sigma,0.1,lsq,1.172,0.984,1.967,0,0.029,15,200
noise_sigma,0.1,lsq_gn,0.621,0.426,1.003,7,0.222,15,200
noise_sigma,0.25,pso,8.070,5.839,14.458,1200,1.316,120,200
noise_sigma,0.25,std,6.059,3.167,11.791,1220,1.812,183,200
noise_sigma,0.25,lsq,2.931,2.461,4.920,0,0.028,15,200
noise_sigma,0.25,lsq_gn,1.935,1.225,2.624,8,0.241,15,200
noise_sigma,0.5,pso,8.379,6.253,14.651,1200,1.293,120,200
noise_sigma,0.5,std,6.533,3.983,12.931,1220,1.828,183,200
noise_sigma,0.5,lsq,5.860,4.920,9.850,0,0.028,15,200
noise_sigma,0.5,lsq_gn,4.174,2.678,6.526,8,0.254,15,200
noise_sigma,1.0,pso,8.555,6.705,14.687,1200,1.508,120,200
noise_sigma,1.0,std,6.978,4.921,13.205,1220,1.803,183,200
noise_sigma,1.0,lsq,11.717,9.834,19.716,0,0.028,15,200
noise_sigma,1.0,lsq_gn,7.366,4.971,10.590,9,0.265,15,200
noise_sigma,2.0,pso,9.324,7.750,15.231,1200,1.295,120,200
noise_sigma,2.0,std,7.772,6.126,14.203,1220,1.812,183,200
noise_sigma,2.0,lsq,23.424,19.648,39.043,0,0.028,15,200
noise_sigma,2.0,lsq_gn,11.187,8.374,18.656,9,0.272,15,200
n_anchors,4.0,pso,8.379,6.253,14.651,1200,1.296,120,200
n_anchors,4.0,std,6.533,3.983,12.931,1220,1.813,183,200
n_anchors,4.0,lsq,5.860,4.920,9.850,0,0.028,15,200
n_anchors,4.0,lsq_gn,4.174,2.678,6.526,8,0.254,15,200
n_anchors,5.0,pso,7.693,5.282,14.577,1200,1.343,120,200
n_anchors,5.0,std,5.683,3.110,8.000,1220,1.839,183,200
n_anchors,5.0,lsq,4.204,3.264,7.038,0,0.030,18,200
n_anchors,5.0,lsq_gn,2.828,1.730,4.014,8,0.254,18,200
n_anchors,6.0,pso,6.424,4.247,12.296,1200,1.578,120,200
n_anchors,6.0,std,3.051,1.558,2.609,1220,1.891,183,200
n_anchors,6.0,lsq,3.066,2.333,4.869,0,0.030,21,200
n_anchors,6.0,lsq_gn,2.124,1.436,2.825,8,0.259,21,200
n_anchors,8.0,pso,5.804,3.806,10.445,1200,1.463,120,200
n_anchors,8.0,std,2.698,1.276,1.544,1220,1.980,183,200
n_anchors,8.0,lsq,2.136,1.672,3.140,0,0.030,27,200
n_anchors,8.0,lsq_gn,1.147,0.892,1.876,8,0.253,27,200
n_anchors,10.0,pso,4.947,3.026,8.056,1200,1.566,120,200
n_anchors,10.0,std,2.372,1.055,1.695,1220,2.058,183,200
n_anchors,10.0,lsq,1.609,1.369,2.627,0,0.030,33,200
n_anchors,10.0,lsq_gn,0.835,0.705,1.302,8,0.249,33,200
n_particles,5.0,pso,10.205,8.179,17.581,300,1.131,30,200
n_particles,5.0,std,7.081,4.974,14.115,305,1.567,48,200
n_particles,10.0,pso,9.136,7.091,16.950,600,1.168,60,200
n_particles,10.0,std,6.785,4.317,13.589,610,1.872,93,200
n_particles,20.0,pso,8.379,6.253,14.651,1200,1.301,120,200
n_particles,20.0,std,6.533,3.983,12.931,1220,1.833,183,200
n_particles,40.0,pso,7.027,4.794,14.312,2400,1.562,240,200
n_particles,40.0,std,6.133,3.833,11.786,2440,2.127,363,200
n_particles,80.0,pso,6.370,4.282,12.064,4800,2.095,480,200
n_particles,80.0,std,5.160,3.044,7.228,4880,2.737,723,200
n_iterations,10.0,pso,8.755,7.088,14.441,200,0.241,120,200
n_iterations,10.0,std,7.064,4.948,11.984,220,0.345,183,200
n_iterations,20.0,pso,8.532,6.574,14.698,400,0.459,120,200
n_iterations,20.0,std,6.790,4.391,12.320,420,0.643,183,200
n_iterations,30.0,pso,8.383,6.275,14.653,600,0.772,120,200
n_iterations,30.0,std,6.616,4.104,13.046,620,1.024,183,200
n_iterations,60.0,pso,8.379,6.253,14.651,1200,1.304,120,200
n_iterations,60.0,std,6.533,3.983,12.931,1220,1.809,183,200
n_iterations,120.0,pso,8.381,6.254,14.653,2400,2.549,120,200
n_iterations,120.0,std,6.505,3.951,12.934,2420,3.722,183,200
